5－8図　無理やりに性交等をされた被害経験等（令和2（2020）年度）,,,,,
,,,,,
(1)無理やりに性交等をされた被害経験,,,,,（％）
,1人からあった,2人以上から,まったくない,無回答,あった（計）
女性,5.3,1.6,89.2,3.9,6.9
男性,0.8,0.2,95.5,3.4,1.0
,,,,,
(2)加害者との関係（複数回答，抜粋）,,（％）,,,
,女性,男性,,,
交際相手・元交際相手,31.2,11.8,,,
配偶者（事実婚や別居中を含む）,17.6,5.9,,,
元配偶者（事実婚を解消した者を含む）,12.0,－,,,
通っていた（いる）学校・大学の関係者,2.4,23.5,,,
職場・アルバイト先の関係者,8.0,11.8,,,
まったく知らない人,11.2,17.6,,,
,,,,,
(3)無理やりに性交等をされた被害の相談経験,,,（％）,,
,相談した,相談しなかった,無回答,,
女性,37.6,58.4,4.0,,
男性,29.4,70.6,－,,
,,,,,
(4)被害にあったときの状況（複数回答，抜粋）,,（％）,,,
,女性,男性,,,
相手から，不意をつかれ，突然に襲いかかられた,28.8,11.8,,,
相手から，「何もしない」などとだまされた,26.4,－,,,
相手との関係性から拒否できなかった,23.2,23.5,,,
驚きや混乱等で体が動かなかった,19.2,23.5,,,
泣く，叫ぶ，相手に抗議する，説得する等の言葉による抵抗をした,21.6,5.9,,,
相手から，脅された,12.8,23.5,,,
相手から，身体的な暴力をふるわれた,13.6,11.8,,,
相手をたたく，ひっかく等による身体的な抵抗をした,10.4,11.8,,,
飲酒や薬物等により意識がなかった・もうろうとしていた,10.4,5.9,,,
相手が，複数人であった,1.6,11.8,,,
