5－10図　強制性交等・強制わいせつ認知件数の推移,,
,,（件）
年,強制性交等,強制わいせつ
"昭和51（1976）","3,239","2,694"
"52（1977）","2,945","2,992"
"53（1978）","2,897","2,994"
"54（1979）","2,810","2,829"
"55（1980）","2,610","2,825"
"56（1981）","2,638","2,735"
"57（1982）","2,399","2,645"
"58（1983）","1,970","2,464"
"59（1984）","1,926","2,369"
"60（1985）","1,802","2,645"
"61（1986）","1,750","2,291"
"62（1987）","1,823","2,404"
"63（1988）","1,741","2,867"
"平成元（1989）","1,556","2,759"
"2（1990）","1,548","2,730"
"3（1991）","1,603","3,176"
"4（1992）","1,504","3,505"
"5（1993）","1,611","3,581"
"6（1994）","1,616","3,580"
"7（1995）","1,500","3,644"
"8（1996）","1,483","4,025"
"9（1997）","1,657","4,398"
"10（1998）","1,873","4,251"
"11（1999）","1,857","5,346"
"12（2000）","2,260","7,412"
"13（2001）","2,228","9,326"
"14（2002）","2,357","9,476"
"15（2003）","2,472","10,029"
"16（2004）","2,176","9,184"
"17（2005）","2,076","8,751"
"18（2006）","1,948","8,326"
"19（2007）","1,766","7,664"
"20（2008）","1,590","7,137"
"21（2009）","1,415","6,723"
"22（2010）","1,293","7,068"
"23（2011）","1,193","6,929"
"24（2012）","1,266","7,321"
"25（2013）","1,409","7,654"
"26（2014）","1,250","7,400"
"27（2015）","1,167","6,755"
"28（2016）",989,"6,188"
"29（2017）","1,109","5,809"
"30（2018）","1,307","5,340"
"令和元（2019）","1,405","4,900"
"2（2020）","1,332","4,154"
"3（2021）","1,388","4,283"
