prefecture,name,url,phone,lat,lon
北海道,北海道弁護士会,https://hokkaido-bengo.or.jp/,011-221-0034,43.06417,141.34694
青森県,青森県弁護士会,https://aomori-bengo.or.jp/,017-723-2311,40.82444,140.74
岩手県,岩手県弁護士会,https://iwate-bengo.or.jp/,019-623-4100,39.70361,141.1525
宮城県,宮城県弁護士会,https://miyagi-bengo.or.jp/,022-225-0071,38.26889,140.87194
秋田県,秋田県弁護士会,https://akita-bengo.or.jp/,018-832-5252,39.71861,140.1025
山形県,山形県弁護士会,https://yamagata-bengo.or.jp/,023-633-0034,38.24056,140.36333
福島県,福島県弁護士会,https://fukushima-bengo.or.jp/,024-521-0031,37.75,140.46778
茨城県,茨城県弁護士会,https://ibaraki-bengo.or.jp/,029-224-2220,36.34139,140.44667
栃木県,栃木県弁護士会,https://tochigi-bengo.or.jp/,028-623-0031,36.56583,139.88361
群馬県,群馬県弁護士会,https://gunma-bengo.or.jp/,027-234-0031,36.39111,139.06083
埼玉県,埼玉県弁護士会,https://saitama-bengo.or.jp/,048-657-0131,35.85694,139.64889
千葉県,千葉県弁護士会,https://chiba-bengo.or.jp/,043-245-0034,35.60472,140.12333
東京都,東京弁護士会,https://www.toben.or.jp/,03-3581-1511,35.68944,139.69167
東京都,第一東京弁護士会,https://toben.or.jp/,03-3581-1511,35.68944,139.69167
東京都,第二東京弁護士会,https://niben.jp/,03-3581-2249,35.68944,139.69167
神奈川県,神奈川県弁護士会,https://kanagawa-bengo.or.jp/,045-641-0034,35.44778,139.6425
新潟県,新潟県弁護士会,https://niigata-bengo.or.jp/,025-223-0031,37.90222,139.02361
富山県,富山県弁護士会,https://toyama-bengo.or.jp/,076-421-0031,36.69528,137.21139
石川県,石川県弁護士会,https://ishikawa-bengo.or.jp/,076-223-0031,36.59444,136.62556
福井県,福井県弁護士会,https://fukui-bengo.or.jp/,0776-22-0031,36.06528,136.22194
山梨県,山梨県弁護士会,https://yamanashi-bengo.or.jp/,055-232-0031,35.66389,138.56833
長野県,長野県弁護士会,https://nagano-bengo.or.jp/,026-232-0031,36.65139,138.18111
岐阜県,岐阜県弁護士会,https://gifu-bengo.or.jp/,058-262-0034,35.39111,136.72222
静岡県,静岡県弁護士会,https://shizuoka-bengo.or.jp/,054-254-0031,34.97694,138.38306
愛知県,愛知県弁護士会,https://aichi-bengo.or.jp/,052-961-0031,35.18028,136.90667
三重県,三重県弁護士会,https://mie-bengo.or.jp/,059-228-0031,34.73028,136.50861
滋賀県,滋賀県弁護士会,https://shiga-bengo.or.jp/,077-523-0031,35.00444,135.86833
京都府,京都弁護士会,https://kyoto-bengo.or.jp/,075-231-0034,35.02139,135.75556
大阪府,大阪弁護士会,https://osaka-bengo.or.jp/,06-6361-0031,34.68639,135.52
兵庫県,兵庫県弁護士会,https://hyogoben.or.jp/,078-341-7061,34.69139,135.18306
奈良県,奈良県弁護士会,https://nara-bengo.or.jp/,0742-22-0034,34.68528,135.83278
和歌山県,和歌山県弁護士会,https://wakayama-bengo.or.jp/,073-422-0031,34.22611,135.1675
鳥取県,鳥取県弁護士会,https://tottori-bengo.or.jp/,0857-22-0034,35.50361,134.23833
島根県,島根県弁護士会,https://shimane-bengo.or.jp/,0852-22-0031,35.47222,133.05056
岡山県,岡山県弁護士会,https://okayama-bengo.or.jp/,086-223-0031,34.66167,133.935
広島県,広島県弁護士会,https://hiroshima-bengo.or.jp/,082-221-0031,34.39639,132.45944
山口県,山口県弁護士会,https://yamaguchi-bengo.or.jp/,083-921-0031,34.18583,131.47139
徳島県,徳島県弁護士会,https://tokushima-bengo.or.jp/,088-622-0031,34.06583,134.55944
香川県,香川県弁護士会,https://kagawa-bengo.or.jp/,087-822-0031,34.34028,134.04333
愛媛県,愛媛県弁護士会,https://ehime-bengo.or.jp/,089-933-0031,33.84167,132.76611
高知県,高知県弁護士会,https://kochi-bengo.or.jp/,088-872-0324,33.55972,133.53111
福岡県,福岡県弁護士会,https://fukuoka-bengo.or.jp/,092-711-0031,33.60639,130.41806
佐賀県,佐賀県弁護士会,https://saga-bengo.or.jp/,0952-25-0031,33.24944,130.29889
長崎県,長崎県弁護士会,https://nagasaki-bengo.or.jp/,095-824-0031,32.74472,129.87361
熊本県,熊本県弁護士会,https://kumamoto-bengo.or.jp/,096-352-0031,32.78972,130.74167
大分県,大分県弁護士会,https://oita-bengo.or.jp/,097-532-0031,33.23806,131.6125
宮崎県,宮崎県弁護士会,https://miyazaki-bengo.or.jp/,0985-22-0031,31.91111,131.42389
鹿児島県,鹿児島県弁護士会,https://kagoshima-bengo.or.jp/,099-226-0031,31.56028,130.55806
沖縄県,沖縄県弁護士会,https://okinawa-bengo.or.jp/,098-868-0031,26.2125,127.68111
